userid,taskid,date,frequency,remarks,
1,3,5/17/2022,2,,smoking
1,4,5/17/2022,2,,mastrubation
1,3,5/18/2022,1,,
1,4,5/18/2022,1,,
1,1,5/18/2022,1,,running
1,3,5/19/2022,2,,
1,4,5/19/2022,1,,
1,1,5/19/2022,1,,
1,1,5/20/2022,1,,
1,4,5/20/2022,1,,
1,3,5/22/2022,2,,
1,4,5/22/2022,2,,
1,3,5/23/2022,1,,
1,4,5/23/2022,1,,
1,3,5/24/2022,1,,
1,4,5/24/2022,1,,
1,5,5/24/2022,1,,
1,4,5/25/2022,1,,
1,4,5/26/2022,1,,
1,1,5/27/2022,1,,
1,2,5/27/2022,1,,
1,4,5/27/2022,1,,
1,1,5/28/2022,1,,
1,2,5/28/2022,1,,
1,3,5/28/2022,2,,
1,4,5/28/2022,2,,
1,1,5/29/2022,1,,
1,2,5/29/2022,1,,
1,3,5/29/2022,1,,
1,4,5/29/2022,1,,
1,1,5/30/2022,1,,
1,3,5/30/2022,1,,
1,4,5/30/2022,1,,
1,1,5/31/2022,1,,
1,1,6/1/2022,1,,
1,3,6/1/2022,2,,
1,4,6/1/2022,1,,
1,5,6/1/2022,1,,
1,1,6/2/2022,1,,
1,1,6/3/2022,1,,
1,3,6/3/2022,2,,
1,4,6/3/2022,1,,
1,5,6/3/2022,1,,
1,1,6/4/2022,1,,
1,1,6/5/2022,1,,
1,5,6/5/2022,1,,
1,1,6/6/2022,1,,
1,1,6/7/2022,1,,
1,3,6/7/2022,2,,
1,4,6/7/2022,2,,
1,3,6/9/2022,1,,
1,4,6/9/2022,1,,
1,1,6/10/2022,1,,
1,1,6/11/2022,1,,
1,2,6/11/2022,1,,
1,3,6/11/2022,2,,
1,4,6/11/2022,2,,
1,4,6/12/2022,1,,
1,3,6/15/2022,3,Noida,
1,3,6/16/2022,3,Noida,
1,4,6/16/2022,1,Noida,
1,5,6/16/2022,1,Noida,
1,3,6/17/2022,4,Noida,
1,4,6/17/2022,2,Noida,
1,5,6/17/2022,1,Noida,
1,3,6/18/2022,3,Noida,
1,4,6/18/2022,3,Noida,
1,5,6/18/2022,2,Noida,
1,3,6/19/2022,3,Noida,
1,4,6/19/2022,2,Noida,
1,3,6/20/2022,1,Noida,
1,4,6/20/2022,1,Noida,
1,5,6/20/2022,1,Noida,
1,1,6/21/2022,1,Noida,
1,2,6/21/2022,1,Noida,
1,3,6/21/2022,2,Noida,
1,1,6/22/2022,1,Noida,
1,2,6/22/2022,1,Noida,
1,3,6/22/2022,3,Noida,
1,2,6/23/2022,1,Noida,
1,3,6/23/2022,3,Noida,
